material,floor,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,internal_wall_1,internal_wall_2,roof_1,roof_2,column
Bitumen sealing,,,,,,,,,0,,
Box beam element with intermediate cellu- lose insulation,,,,,,,,,,0.36,
Cement cast plaster floor,,0.08,0.08,,,,,,,,
Concrete floor slab (FE 80 kg/m³),0.2,,,,,,,,,,
Concrete slab (FE 80 kg/m³),,0.22,,0.25,,,,,0.4,,
Concrete wall (FE 60 kg/m³),,,,,,0.25,,,,,
Fibre board soft,,,0.017,,,,,,,,
Fibre cement facing tile,,,,,0.015,,,,,,
Floor slab element of plywood,,,0.32,,,,,,,,
Gravel Non-woven filter (PE),,,,,,,,,0,,
Gypsum fibre board,,,0.015,,0.045,,0.05,,,0.015,
Gypsum plaster,,,,,0.01,,,,,0.01,
Metal frame construction with intermediate rock wool insulation,,,,,,,0.05,,,,
Non-woven filter (PE),,,,,,,,,,0,
Non-woven polyethylene (PE),,,,,,,,,0,0,
Oriented Strand Board (OSB),,,,,0.025,,,,,,
Polypropylene fleece (PP),,,,,,,,,,0,
Polyurethane (PUR / PIR) (30 kg/m³),,0.18,,,,,,,,,
Poor concrete,0.05,,,,,,,,,,
Rock wool (100 kg/m³),,,0.025,,,,,,,,
Rock wool slab (160 kg/m³),,0.12,,,,,,,,,
Sand-lime brick,,,,,,,,0.12,,,
Solid Spruce / Fir / Larch (parquet),,0.015,0.015,,,,,,,,
Stucco,,,0.01,,,,,,,,
Substrate for vegetation,,,,,,,,,0,0.08,
Suspension ceiling lining with intermediate rock wool insulation (0.06 m),,,0.095,,,,,,,0.095,
Timber battens (50/80) with intermediate rock wool insulation ,,,,,0.08,,,,,,
Timber battens (60/130),,,,,,,,,,0.13,
Timber battens (60/30),,,,,0.03,,,,,,
Timber cladding,,,,,,,,,,0.027,
Timber frame construction with intermediate cellulose fibre insulation,,,,,0.3,,,,,,
Vapour barrier of polyethylene (PE),,,,,,,,,,0,
Vapour barrier of polyethylene (PE),,0.0002,0.0002,,,,,,,,
Steel (filled with sand) (m³),,,,,,,,,,,14.8
