material,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,internal_wall_3,roof_1_,roof_2,roof_3,columns_1,columns_2
Cement cast plaster floor,0.03,0.05,0.05,0.05,,,,,,,,,,,
Concrete floor slab (FE 80 kg/m³),0.25,0.25,,,,,,,,,,,,,
Insulation (recycled glass foam fill),0.3,0.3,,,,,,,,,,,,,
Solid Spruce / Fir / Larch (parquet),,0.01,0.01,0.01,0.02,,,,,,,,,,
Vapour barrier of polyethylene (PE),,0.0002,0.0002,0.0002,,,,,,,,,,,
Expanded polystyrene (EPS) (30 kg/m³),,0.08,0.03,0.075,,,0.25,,,,,,0.13,,
Concrete slab (FE 80 kg/m³),,,,0.22,,,,,,,,,,,
Sand filling,,,0.06,,,,,,,,,,,,
Log wood panel with 6 cm insulation (glass wool) (30 kg/m³) ,,,0.17,,,,,,,,,,,,
Sun care Coating,,,,,,,,,,,,,,,
Oriented Strand Board (OSB),,,,,0.027,,,,,,,,,,
Timber frame construction with intermediate insulation (glass wool) (30 kg/m³),,,,,0.26,,,,,,0,,,,
Timber battens with intermediate glass wool ,,,,,0.08,,,,,,0.08,,,,
Insulating fibre board,,,,,0.022,,,,,,,,,,
Concrete wall (FE 60 kg/m³),,,,,,0.25,,0.3,,,,,,,
Coating + polystyrene (XPS) (30 kg/m³) ,,,,,,0.55,,,,,,,,,
Gypsum plaster,,,,,,,0.01,0.02,,,0.01,,,,0.015
Concrete wall (FE 60 kg/m³),,,,,,,0.25,,,,,,,,
Lime plaster,,,,,,,0.02,,,,,,,,
Reinforced concrete (m³),,,,,,,,,,,,,,0.26,
Solid wood (m³),,,,,,,,,,,,,,,9.9
12 cm X 16 cm timber frame construction ,,,,,,,,,,0.16,,,,,
Gypsum plaster board,,,,,,,,,,0.03,,,,,
Sand lime brick,,,,,,,,,0.15,,,,,,
Gravel,,,,,,,,,,,0,,,,
Bitumen waterproofing membrane GV2,,,,,,,,,,,0,,,,
Gypsum plaster,0.01,,,,,,,,,0.01,,,,,
"Tile / brick & timber construction, battens",0.2,,,,,,,,,,,,,,
Flagstones,0.05,,,,,,,,,,,,0.05,,
insulation (glass wool) (30 kg/m³),0.32,,,,,,,,,,0.26,,0.32,,
3-layer solid wood panel PVAc-bound,0.035,,,,,,,,,,0.062,,0.062,,
Bituminous geomembrane,,,,,,,,,,,,,0,,
