===== operational =====
building  1  1.07366895812494
building  2  0.01963305745258
building  3  0.57991376179964
building  4  1.40256288060621
building  5  0.97756891274796
building  6  0.11018361632207
building  7  3.13249152062058
building  8  0.64618962029102
building  9  0.34794825707978
building 10  7.50492760148682
building 11  0.19054309316274
building 12  0.23279395611128

===== embodied =====
building  1  5.22561893024215
building  2  8.04112204425801
building  3  3.08404351894606
building  4  3.47093634062412
building  5  2.30126466160820
building  6  8.49567528658224
building  7  3.80469939636654
building  8  3.60582264082215
building  9  2.79579377121365
building 10  3.62387686463202
building 11  4.17166413414215
building 12  5.22755292232524
