material,floor_1,floor_2,ceiling_1,ceiling_2,external_wall_1,external_wall_2,external_wall_3,internal_wall_1,internal_wall_2,roof_1,roof_2,column
Air cavity,,,,,,0.02,,,,,,
Bitumen sealing,0.001,,,,,,,,,,0.001,
Cement cast plaster floor,0.08,0.05,0.08,0.08,,,,,,,,
Cement slates,,,,,,,,,,,0.05,
Concrete floor slab (FE 80 kg/m³),0.25,0.25,,,,,,,,,,
Concrete slab (FE 80 kg/m³),,,0.25,0.25,,,,,,,0.25,
Concrete wall (FE 60 kg/m³),,,,,,,,,0.2,,,
Expanded polystyrene (EPS) (30 kg/m³),,,0.02,0.145,,,0.125,,,,,
Fibre cement facing tile,,,,,0.015,,,,,,,
Gravel,,,,,,,,,,,0.155,
Gypsum plaster,,,,,,,,,,0.005,,
Gypsum plaster board,,,,,,,,,,0.025,,
Hard fibre board,,,,,,,,,,0.022,,
Insulation of Polyurethane (PU),0.1,,,,,,,,,,,
Linoleum,0.005,,0.005,0.005,,,,,,,,
Metal sheets,,,,,,,,,,0,,
Poor concrete,0.05,0.05,,,,,,,,,,
Rafters with cellulose insulation,,,,,,,,,,0.22,,
Reinforced concrete (m³),,0,,,,,,,,,,3.64
Rockwool insulation (60 kg/m³),0.02,,0.02,0.02,0.2,0.2,,,,,0.075,
Sand-lime brick,,,,,0.145,0.265,0.2,0.145,,,,
Solid Spruce / Fir / Larch,,,,,,,,,,0.027,,
Timber battens,,,,,,,,,,0.03,,
Timber battens and air cavity,,,,,,,,,,0.06,,
Timber battens and counter battens with air cavity ,,,,,0.06,,,,,,,
Vapour barrier of polyethylene (PE),,,,,,,,,,,,
"Wood wool board, cement bonded",,,,0.025,,,0.025,,,,,
