material,floor,ceiling_1,ceiling_2,ceiling_3,external_wall_1,external_wall_2,external_wall_3,internal_wall_1_,internal_wall_2,internal_wall_3,roof_1,roof_2,column
Air cavity,,,,,,,,,0.03,,,,
Bitumen sealing,,,,,,,,,,,,0.003,
Bituminous geomembrane,,,,,,,0,,,,,0.0082,
Cement cast plaster floor,0.08,0.08,0.08,0.08,,,,,,,,,
Concrete bond,,,0.14,0.14,,,,,,,0.14,,
Concrete floor slab (FE 80 kg/m³),0.4,0.25,,,,,,,,,,,
Concrete wall (FE 60 kg/m³),,,,,,,0.2,,,0.2,,,
Edge-glued timber floor,,,0.14,0.14,,,,,,,0.14,0.14,
Expanded polystyrene (EPS) (15 kg/m³),0.02,,,,,,,,,,,,
Expanded polystyrene (EPS) (30 kg/m³),,0.07,0.225,0.04,,,,,,,0.1,,
Extruded polystyrene (XPS) (30 kg/m³),0.16,,,,,,0.16,,,,,,
"Fibre board, emission-free (""Living board"")",,,,,0.032,0.016,,,,,,,
Gradient insulation EPS 40-140 mm ,,,,,,,,,,,,,
Gypsum fibre board,,,,,,0.015,,,0.03,,,,
Gypsum plaster board,,,,,,,,0.05,,,,,
Medium density fibre board (DWD),,,,,,0.016,,,,,,,
Metal stud construction with intermediate rock wool insulation ,,,,,,,,0.05,,,,,
"Particle board, emission-free (""Living board"")",,,,,,,,,0.032,,,,
Phenolic foam (PF) (15 kg/m³),0.12,,,,,,,,,,,,
Protective drainage layer made of PE,,,,,,,,,,,0.0025,0.0025,
Reinforced concrete (m³),0,,,,,,,,,,,,1
Rock wool insulation,,,,,,,,,,,0.15,0.32,
Solid Spruce / Fir / Larch (parquet),0.01,0.01,0.01,0.01,,,,,,,,,
"Solid wood (spruce), raw",,,,,0.02,0.02,,,,,,,
Stucco,,,,,,,0.02,,,,,,
Substrate for vegetation,,,,,,,,,,,0,0.07,
Synthetic rubber mat with nubs,,,,,,,,,,,,,
Timber battens,,,,,,,,,,,0.027,,
Timber battens with intermediate rock wool insulation,,,,,0.08,0.14,,,0.24,,,,
Timber frame construction with intermediate cellulose fibre insulation,,,,,0.2,0.28,,,0,,,,
Vapour barrier of polyethylene (PE),,0,0,0,,,,,,,,,
